event_id,cow,start,end,duration_bins,duration_hours,profile,expected_detected,design_reason,steps_change_target,motion_change_target,transitions_change_target,posture_shift_target,schedule_rotation,realized_position_ratio,source_steps_sum,source_motion_sum,source_transitions_sum,realized_steps_change,realized_motion_change,realized_transitions_change,informative_source_window,detected_any_overlap,novel_start_count,episode_overlap,detected_iou20,best_iou,episode_overlap_raw,detected_iou20_raw,best_iou_raw,attributable_interval_count,onset_delay_hours,score_max,legacy_detected_any_overlap,legacy_novel_start_count,legacy_episode_overlap,legacy_detected_iou20,legacy_best_iou,legacy_episode_overlap_raw,legacy_detected_iou20_raw,legacy_best_iou_raw,legacy_attributable_interval_count,legacy_onset_delay_hours,legacy_score_max,scenario,seed,heldout_start,event_after_heldout,protocol_role,if_score_min,if_anom_k_max,warning_score_max,cow_background_notifs,legacy_cow_background_notifs,cow_false_notifs,legacy_cow_false_notifs,cow_monitoring_days,cow_total_span_days,cow_days,sensitivity_run_hash,sensitivity_module_version,sensitivity_configuration,sensitivity_parameter,sensitivity_tested_value
2056_gradual_mild_s11_1555,2056,2023-11-01 14:45:00,2023-11-03 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,0,0.6341761827079935,300.0,2080.0,23.0,-0.10891186936156294,-0.08881074610328055,-0.08182133845033113,True,1,3,1,1,0.2012987012987013,1,1,0.2012987012987013,63,15.5,0.4450213526622437,1,1,1,0,0.041666666666666664,1,0,0.041666666666666664,6,3.0,9.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.14887656460950693,9.0,0.4450213526622437,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
2056_gradual_moderate_s11_1775,2056,2023-11-03 21:45:00,2023-11-05 21:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,0,0.7238988580750407,130.0,1176.0,38.0,-0.21600699482415409,-0.1923584240434124,-0.19079259724742648,True,1,1,1,0,0.15104166666666666,1,1,0.6650485436893204,36,13.75,0.6818309617198212,0,0,0,0,0.0,0,0,0.0,0,,3.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.12733246059133874,3.0,0.6818309617198212,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
2056_gradual_marked_s11_2043,2056,2023-11-06 16:45:00,2023-11-09 04:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,0,0.8331973898858075,691.0,4350.0,42.0,-0.3933038241212693,-0.3472760656829531,-0.2959885295415894,True,1,1,1,1,0.475,1,1,0.475,114,16.0,0.4923229074832419,0,0,0,0,0.0,0,0,0.0,0,,8.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.133042554746591,8.0,0.4923229074832419,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
2056_isolated_short_variation_s11_2359,2056,2023-11-09 23:45:00,2023-11-10 02:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,0,0.9620717781402937,2.0,41.0,3.0,0.09444444444444455,0.0,0.0,True,0,0,0,0,0.0,0,0,0.0,0,,0.178699467842877,0,0,0,0,0.0,0,0,0.0,0,,3.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.03488547809928133,3.0,0.178699467842877,4,0,4,0,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
7443_gradual_mild_s11_2225,7443,2023-11-08 14:45:00,2023-11-10 02:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,1,0.9081632653061225,428.0,3107.0,23.0,-0.08108374368105375,-0.07056373143446348,-0.09228252728999053,True,1,1,1,0,0.1038961038961039,1,0,0.1038961038961039,26,32.0,0.2971703364742573,0,0,0,0,0.0,0,0,0.0,0,,7.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.16261656776106925,7.0,0.2971703364742573,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
7443_gradual_moderate_s11_1553,7443,2023-11-01 14:45:00,2023-11-03 14:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,1,0.6338775510204082,984.0,5819.0,26.0,-0.2078725670597057,-0.17906707783380926,-0.16870299442191827,True,1,1,1,0,0.19270833333333334,1,1,0.3072916666666667,55,15.5,0.3904142481381192,0,0,0,0,0.0,1,0,0.005208333333333333,0,,7.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.17056639700683263,7.0,0.3904142481381192,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
7443_gradual_marked_s11_1821,7443,2023-11-04 09:45:00,2023-11-06 21:30:00,240,60.0,gradual_marked,1,"Scenario marque de sensibilite, non calibre cliniquement.",-0.42,-0.38,-0.4,0.12,1,0.743265306122449,432.0,3564.0,44.0,-0.3447571621662613,-0.30011318322039393,-0.2905019915196969,True,0,0,1,0,0.0625,1,1,0.6323024054982818,27,,0.612581865844952,0,0,0,0,0.0,0,0,0.0,0,,5.0,gradual_marked,11,2023-10-31 18:45:00,True,primary,-0.1306464467427163,5.0,0.612581865844952,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
7443_isolated_short_variation_s11_2137,7443,2023-11-07 16:45:00,2023-11-07 19:30:00,12,3.0,isolated_short_variation,0,"Controle negatif: variation isolee et breve, sans coherence multivariee.",0.15,0.0,0.0,0.0,1,0.8722448979591837,6.0,78.0,2.0,0.14351851851851838,0.0,0.0,True,0,0,0,0,0.0,1,1,0.32432432432432434,0,,0.24844725440655518,0,0,0,0,0.0,0,0,0.0,0,,6.0,isolated_short_variation,11,2023-10-31 18:45:00,True,primary,-0.026970528723408216,6.0,0.24844725440655518,4,3,4,3,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
8061_gradual_mild_s11_1957,8061,2023-11-05 19:45:00,2023-11-07 07:30:00,144,36.0,gradual_mild,1,"Niveau de sensibilite conservateur, inferieur a l'effet publie.",-0.12,-0.1,-0.12,0.03,2,0.7987755102040817,578.0,3712.0,31.0,-0.10891758031090526,-0.09283199536089759,-0.09017175718392756,True,1,1,1,0,0.020833333333333332,1,0,0.08974358974358974,3,9.75,0.26170583388492563,0,0,0,0,0.0,0,0,0.0,0,,4.0,gradual_mild,11,2023-10-31 18:45:00,True,primary,-0.161279239141355,4.0,0.26170583388492563,3,0,3,0,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
8061_gradual_moderate_s11_2177,8061,2023-11-08 02:45:00,2023-11-10 02:30:00,192,48.0,gradual_moderate,1,Pas ancres sur Paudyal et al. 2021; autres signaux = hypotheses coherentes.,-0.29,-0.25,-0.25,0.07,2,0.8885714285714286,856.0,5653.0,51.0,-0.251732208556261,-0.21725900317218272,-0.17858460843661128,True,1,2,1,1,0.22395833333333334,1,1,0.22395833333333334,73,13.0,0.41580515527073003,0,0,0,0,0.0,0,0,0.0,0,,4.0,gradual_moderate,11,2023-10-31 18:45:00,True,primary,-0.17849213759800742,4.0,0.41580515527073003,3,0,3,0,10.177083333333334,25.447916666666668,10.177083333333334,4e8f0a97233bb350ba69a063b7eeab3e9240a88fb2c4c59c68e6a8a5618f6c2c,1,reference,reference,
